# sin(2theta)^2 dm^2
9.08237348e-1 2.82662446e-2
7.72835495e-1 3.06082011e-2
6.63929465e-1 3.26033372e-2
5.70370198e-1 3.55887101e-2
4.89995067e-1 3.90857927e-2
4.20946197e-1 4.11552617e-2
3.61627520e-1 4.44831636e-2
3.10667881e-1 4.76572325e-2
2.66889347e-1 5.06774969e-2
2.29279973e-1 5.60177809e-2
1.96970417e-1 5.88236114e-2
1.69213842e-1 6.43628036e-2
1.45368654e-1 7.20943808e-2
1.24883670e-1 7.74225813e-2
1.07285378e-1 7.99579934e-2
9.21669926e-2 8.80839550e-2
7.91790523e-2 9.71347157e-2
6.80213398e-2 1.04490935e-1
5.84359440e-2 1.12595406e-1
5.02012981e-2 1.22655031e-1
4.31270577e-2 1.29149227e-1
3.70497014e-2 1.38458662e-1
3.18287509e-2 1.55038305e-1
2.73435235e-2 1.65088065e-1
2.34903431e-2 1.76148050e-1
2.01801431e-2 1.85916254e-1
1.73364082e-2 2.02939952e-1
1.48934053e-2 2.22427630e-1
1.27946641e-2 2.51614167e-1
1.09916723e-2 2.59060434e-1
9.44275356e-3 2.64650481e-1
8.11210453e-3 2.86245159e-1
6.96896720e-3 3.23915768e-1
5.98691791e-3 3.52975343e-1
5.14325652e-3 3.68019575e-1
4.41848178e-3 4.00355026e-1
3.79584046e-3 4.49515660e-1
3.26094019e-3 4.73155276e-1
2.80141672e-3 5.01093806e-1
2.40664813e-3 5.51643860e-1
2.06750935e-3 6.04205683e-1
1.77616114e-3 6.74948457e-1
1.52586899e-3 7.05631272e-1
1.31084738e-3 7.90126632e-1
1.12612607e-3 9.08195687e-1
9.67435220e-4 1.03367087e+0
8.31106687e-4 1.10292109e+0
7.13989228e-4 1.16527038e+0
6.18387052e-4 1.27127199e+0
5.49938486e-4 1.51143180e+0
4.86090861e-4 1.73912017e+0
4.31776057e-4 2.13156248e+0
4.90727364e-4 2.68006217e+0
5.63146207e-4 3.16061236e+0
6.49326999e-4 3.78573459e+0
7.41622571e-4 4.39180294e+0
8.13818720e-4 5.24994540e+0
7.63047192e-4 5.66474625e+0
6.86163088e-4 6.92263061e+0
7.70325400e-4 8.39683458e+0
6.88572991e-4 9.18124220e+0
7.20419457e-4 1.20922974e+1
7.49204273e-4 1.42275359e+1
7.31136910e-4 1.64993594e+1
7.05654933e-4 2.07507543e+1
7.91553867e-4 2.35853812e+1
7.37610417e-4 2.86996222e+1
7.70325400e-4 3.62009903e+1
7.09728901e-4 4.20685497e+1
7.57993400e-4 5.50094069e+1
8.39034071e-4 6.65457004e+1
7.61945683e-4 7.47185296e+1
7.38188377e-4 9.34912431e+1
