# sin(2theta)^2 dm^2
9.03885850e-1 3.63933287e-2
8.29866454e-1 3.81759630e-2
7.47579168e-1 4.02770258e-2
6.73451264e-1 4.19303818e-2
5.75810587e-1 4.59813669e-2
5.26153976e-1 4.80335374e-2
4.73981989e-1 5.05520341e-2
4.26983232e-1 5.28095806e-2
3.63348091e-1 5.70677754e-2
3.33593442e-1 5.97237638e-2
3.00515230e-1 6.29795997e-2
2.70716962e-1 6.52416093e-2
2.31466924e-1 7.21306267e-2
2.11505737e-1 7.54803192e-2
1.90533407e-1 7.97920793e-2
1.71640636e-1 8.25354560e-2
1.46755230e-1 9.00965082e-2
1.34099389e-1 9.40826743e-2
1.20802461e-1 9.85761221e-2
1.08824020e-1 1.02927434e-1
9.39336193e-2 1.14152936e-1
8.58329952e-2 1.18843095e-1
7.73220304e-2 1.25259887e-1
6.96549895e-2 1.31177523e-1
5.98393840e-2 1.44185200e-1
5.49391246e-2 1.50045713e-1
4.94915114e-2 1.57601009e-1
4.45840687e-2 1.65454937e-1
3.77598579e-2 1.80905758e-1
3.45035327e-2 1.88420040e-1
3.10822569e-2 1.98103352e-1
2.80002254e-2 2.06337381e-1
2.41689520e-2 2.27966062e-1
2.20846759e-2 2.37420418e-1
1.98948199e-2 2.49128915e-1
1.79221041e-2 2.61673377e-1
1.53965663e-2 2.87215232e-1
1.41357384e-2 2.98720510e-1
1.27340773e-2 3.14072402e-1
1.14714010e-2 3.34319068e-1
9.85488010e-3 3.67133269e-1
9.04786196e-3 3.80897382e-1
8.15070074e-3 3.96533069e-1
7.34249957e-3 4.20014349e-1
6.24821539e-3 4.62421809e-1
5.73654776e-3 4.83533464e-1
5.16772739e-3 5.07128412e-1
4.65530969e-3 5.34246073e-1
4.01832325e-3 5.82050112e-1
3.70681491e-3 6.05068578e-1
3.33925729e-3 6.54019356e-1
3.00814568e-3 6.94119076e-1
2.60889480e-3 7.57181853e-1
2.41809862e-3 7.83406175e-1
2.17832658e-3 8.40529595e-1
1.98339925e-3 9.06941218e-1
1.86692628e-3 9.57724830e-1
1.65409792e-3 1.04992433e+0
1.49008210e-3 1.12203576e+0
1.34232964e-3 1.20266143e+0
1.20922790e-3 1.33908861e+0
1.08932418e-3 1.44885408e+0
9.85978702e-4 1.60111994e+0
8.92437736e-4 1.76188258e+0
8.35060972e-4 2.09662523e+0
7.78645027e-4 2.32647659e+0
7.69919240e-4 2.91106630e+0
8.51067147e-4 3.63675909e+0
9.44745527e-4 4.09402727e+0
1.04873524e-3 4.41916648e+0
1.18367320e-3 4.85802036e+0
1.29231355e-3 5.18215355e+0
1.42100661e-3 5.74796485e+0
1.42776755e-3 6.54465611e+0
1.32964700e-3 7.78061788e+0
1.24317724e-3 8.12384549e+0
1.18970824e-3 9.15625235e+0
1.14622651e-3 1.03598286e+1
1.23045763e-3 1.31624600e+1
1.25206007e-3 1.47451265e+1
1.23826960e-3 1.68356001e+1
1.31084738e-3 1.86047503e+1
1.23533431e-3 2.22484473e+1
1.22076194e-3 2.60009212e+1
1.24416110e-3 3.06614181e+1
1.22657015e-3 3.81391741e+1
1.21960360e-3 4.09552081e+1
1.20658172e-3 5.10063499e+1
1.20922790e-3 6.49818500e+1
1.20840823e-3 7.22949940e+1
1.23950302e-3 8.22446777e+1
1.16821860e-3 9.34122417e+1
