# the oscillation parameters of (dm2, sin^2_theta14, and sin^2_theta_24) are divided into 80x60x60 grids 
# column 1-3: index for the dm2, sin^2_theta14, and sin^2_theta_24
# column 4-6: values of the dm2 (eV^2), sin^2_theta14, and sin^2_theta_24
# column 7: delta_Chi2 = Chi2_gridpoint - Chi2_globalmin
 1  1  1   0.0106 0.000108 0.000108       2.52958516
 1  1  2   0.0106 0.000108 0.000126       2.52958539
 1  1  3   0.0106 0.000108 0.000147       2.52958567
 1  1  4   0.0106 0.000108 0.000171       2.52958599
 1  1  5   0.0106 0.000108 0.000200       2.52958636
 1  1  6   0.0106 0.000108 0.000233       2.52958680
 1  1  7   0.0106 0.000108 0.000271       2.52958730
 1  1  8   0.0106 0.000108 0.000316       2.52958790
 1  1  9   0.0106 0.000108 0.000369       2.52958858
 1  1 10   0.0106 0.000108 0.000430       2.52958939
 1  1 11   0.0106 0.000108 0.000501       2.52959032
 1  1 12   0.0106 0.000108 0.000584       2.52959142
 1  1 13   0.0106 0.000108 0.000681       2.52959269
 1  1 14   0.0106 0.000108 0.000794       2.52959417
 1  1 15   0.0106 0.000108 0.000926       2.52959590
 1  1 16   0.0106 0.000108 0.001080       2.52959792
 1  1 17   0.0106 0.000108 0.001259       2.52960027
 1  1 18   0.0106 0.000108 0.001468       2.52960301
 1  1 19   0.0106 0.000108 0.001711       2.52960620
 1  1 20   0.0106 0.000108 0.001995       2.52960992
 1  1 21   0.0106 0.000108 0.002326       2.52961425
 1  1 22   0.0106 0.000108 0.002712       2.52961930
 1  1 23   0.0106 0.000108 0.003162       2.52962518
 1  1 24   0.0106 0.000108 0.003687       2.52963203
 1  1 25   0.0106 0.000108 0.004299       2.52964001
 1  1 26   0.0106 0.000108 0.005012       2.52964930
 1  1 27   0.0106 0.000108 0.005843       2.52966012
 1  1 28   0.0106 0.000108 0.006813       2.52967270
 1  1 29   0.0106 0.000108 0.007943       2.52968735
 1  1 30   0.0106 0.000108 0.009261       2.52970438
 1  1 31   0.0106 0.000108 0.010798       2.52972418
 1  1 32   0.0106 0.000108 0.012589       2.52974719
 1  1 33   0.0106 0.000108 0.014678       2.52977391
 1  1 34   0.0106 0.000108 0.017113       2.52980492
 1  1 35   0.0106 0.000108 0.019953       2.52984088
 1  1 36   0.0106 0.000108 0.023263       2.52988254
 1  1 37   0.0106 0.000108 0.027123       2.52993076
 1  1 38   0.0106 0.000108 0.031623       2.52998649
 1  1 39   0.0106 0.000108 0.036869       2.53005080
 1  1 40   0.0106 0.000108 0.042987       2.53012488
 1  1 41   0.0106 0.000108 0.050119       2.53021003
 1  1 42   0.0106 0.000108 0.058434       2.53030764
 1  1 43   0.0106 0.000108 0.068129       2.53041917
 1  1 44   0.0106 0.000108 0.079433       2.53054613
 1  1 45   0.0106 0.000108 0.092612       2.53068996
 1  1 46   0.0106 0.000108 0.107978       2.53085196
