# sin^2(2theta_emu) dm^2(eV^2)
9.65678123e-1 1.43232400e-2
8.28349863e-1 1.55920039e-2
7.35830388e-1 1.65147914e-2
6.53642747e-1 1.75330993e-2
5.80633071e-1 1.86657479e-2
5.15782061e-1 1.97490336e-2
4.58172729e-1 2.09554069e-2
4.06996853e-1 2.22874712e-2
3.61539623e-1 2.35631076e-2
3.21156822e-1 2.50888144e-2
2.85286068e-1 2.65999866e-2
2.53420898e-1 2.82882144e-2
2.25115560e-1 3.00111574e-2
1.99971725e-1 3.18396343e-2
1.77636778e-1 3.36988130e-2
1.57795577e-1 3.58322266e-2
1.40171049e-1 3.79841171e-2
1.24514872e-1 4.03122928e-2
1.10607903e-1 4.26124233e-2
9.82533417e-2 4.53787768e-2
8.72789735e-2 4.82173776e-2
7.75307120e-2 5.10481454e-2
6.88713714e-2 5.39583191e-2
6.11791934e-2 5.70280029e-2
5.43452396e-2 6.11389820e-2
4.82751516e-2 6.49840792e-2
4.28831292e-2 6.89781297e-2
3.80934808e-2 7.30209063e-2
3.38386119e-2 7.76524397e-2
3.00590262e-2 8.24990785e-2
2.67016517e-2 8.75009341e-2
2.37193090e-2 9.26812666e-2
2.10699676e-2 9.85690167e-2
1.87165372e-2 1.04871943e-1
1.66260312e-2 1.11259352e-1
1.47690158e-2 1.18064474e-1
1.31194044e-2 1.25384197e-1
1.16540306e-2 1.33297142e-1
1.03523462e-2 1.41542739e-1
9.19607232e-3 1.50014998e-1
8.16890280e-3 1.59697103e-1
7.25649574e-3 1.69380998e-1
6.44601526e-3 1.79239665e-1
5.72600447e-3 1.91182711e-1
5.08641808e-3 2.03913921e-1
4.51830577e-3 2.16131619e-1
4.01362433e-3 2.30192765e-1
3.56532633e-3 2.44464181e-1
3.16709044e-3 2.60329673e-1
2.81333707e-3 2.77157483e-1
2.49910359e-3 2.94384607e-1
2.21995735e-3 3.13988223e-1
1.97198681e-3 3.35555030e-1
1.75171423e-3 3.58690315e-1
1.55605574e-3 3.81434017e-1
1.38224086e-3 4.08273812e-1
1.22783961e-3 4.37574208e-1
1.09069018e-3 4.67271585e-1
9.68857816e-4 5.00085964e-1
8.60630842e-4 5.37088291e-1
7.64494244e-4 5.76311329e-1
6.79091517e-4 6.22340293e-1
6.03228563e-4 6.72698863e-1
5.35838603e-4 7.29268760e-1
4.75974961e-4 7.93700704e-1
4.22798037e-4 8.65958692e-1
3.75557427e-4 9.55005920e-1
3.32704810e-4 1.03743443e+0
3.03241847e-4 1.13514825e+0
2.77526050e-4 1.23173685e+0
2.57359952e-4 1.35729341e+0
2.40161060e-4 1.50068159e+0
2.25722945e-4 1.67258986e+0
2.15596462e-4 1.92843982e+0
2.07238254e-4 2.18075254e+0
2.03887109e-4 2.45079925e+0
2.02319322e-4 2.84626421e+0
1.98761128e-4 3.21689210e+0
1.92425089e-4 3.54741094e+0
1.85959319e-4 3.87436400e+0
1.74624889e-4 4.27989656e+0
1.61067393e-4 4.70734928e+0
1.46972644e-4 5.16992432e+0
1.33391164e-4 5.69639586e+0
1.21718369e-4 6.25391105e+0
1.11666014e-4 6.87749196e+0
1.03551746e-4 7.59042934e+0
9.64153471e-5 8.38025379e+0
9.18461484e-5 9.34068292e+0
8.95172704e-5 1.04064666e+1
8.85447278e-5 1.19614918e+1
9.10123215e-5 1.39926667e+1
9.45682411e-5 1.53009287e+1
1.00166897e-4 1.71138251e+1
1.07411425e-4 1.89027866e+1
1.15180548e-4 2.07802772e+1
1.23701304e-4 2.28959252e+1
1.30928158e-4 2.49283356e+1
1.35127681e-4 2.79658221e+1
1.36757922e-4 3.08179181e+1
1.33933668e-4 3.39933619e+1
1.31063082e-4 3.84561330e+1
1.28616762e-4 4.32816866e+1
1.26993776e-4 4.89835837e+1
1.26751068e-4 5.42524145e+1
1.27720478e-4 6.18120797e+1
1.28082259e-4 7.08999262e+1
1.28068027e-4 7.79630959e+1
1.29209002e-4 8.47480134e+1
1.28684927e-4 9.80501025e+1
