# sin^2(2theta_emu) dm^2(eV^2)
9.32171229e-1 2.02738510e-2
8.63841531e-1 2.11653515e-2
7.87091374e-1 2.23416878e-2
7.17164045e-1 2.33053169e-2
6.53445434e-1 2.46330331e-2
5.95392616e-1 2.55940946e-2
5.42496429e-1 2.66862782e-2
4.94297846e-1 2.80582997e-2
4.50382649e-1 2.93328565e-2
4.10369115e-1 3.06518415e-2
3.73909138e-1 3.22986139e-2
3.40688844e-1 3.39591824e-2
3.10420520e-1 3.55798578e-2
2.82841260e-1 3.73106469e-2
2.57713128e-1 3.88345108e-2
2.34816144e-1 4.09208978e-2
2.13954109e-1 4.28361613e-2
1.94945771e-1 4.47230248e-2
1.77625500e-1 4.71050738e-2
1.61844360e-1 4.94182150e-2
1.47465239e-1 5.18905186e-2
1.34363609e-1 5.45104493e-2
1.22426049e-1 5.72123679e-2
1.11548844e-1 6.03390998e-2
1.01638563e-1 6.29139664e-2
9.26088978e-2 6.53398527e-2
8.43809769e-2 6.86991703e-2
7.68840282e-2 7.23264612e-2
7.00533475e-2 7.56783778e-2
6.38296309e-2 7.89078214e-2
5.81588337e-2 8.23112291e-2
5.29915669e-2 8.68859553e-2
4.82833143e-2 9.20782862e-2
4.39936939e-2 9.60497550e-2
4.00851907e-2 1.00104524e-1
3.65239138e-2 1.04422176e-1
3.32789786e-2 1.09309556e-1
3.03221715e-2 1.15841928e-1
2.76281386e-2 1.22119182e-1
2.51735359e-2 1.27891027e-1
2.29370196e-2 1.33818042e-1
2.08991676e-2 1.40574460e-1
1.90423770e-2 1.47542312e-1
1.73505669e-2 1.54583653e-1
1.58090925e-2 1.61321925e-1
1.44046008e-2 1.67468714e-1
1.31248264e-2 1.75615262e-1
1.19587138e-2 1.85538628e-1
1.08962035e-2 1.96195035e-1
9.92810890e-3 2.06826471e-1
9.04605650e-3 2.16411692e-1
8.24236431e-3 2.26739770e-1
7.51006842e-3 2.38083149e-1
6.84283229e-3 2.50103868e-1
6.23489776e-3 2.60776617e-1
5.68097146e-3 2.72143820e-1
5.17623237e-3 2.87142961e-1
4.71636096e-3 2.99659468e-1
4.29730820e-3 3.18965417e-1
3.91550770e-3 3.35806674e-1
3.56763367e-3 3.52451599e-1
3.25066025e-3 3.71550281e-1
2.96184838e-3 3.91855998e-1
2.69870135e-3 4.11640644e-1
2.45893567e-3 4.31664984e-1
2.24047019e-3 4.53459569e-1
2.04140207e-3 4.82886386e-1
1.86002065e-3 5.14674843e-1
1.69475752e-3 5.46871583e-1
1.54418196e-3 5.77773263e-1
1.40698334e-3 6.11763410e-1
1.28197739e-3 6.44630444e-1
1.16807077e-3 6.88577402e-1
1.06428708e-3 7.32296185e-1
9.69722178e-4 7.83251274e-1
8.83559459e-4 8.38120074e-1
8.05051772e-4 8.98804731e-1
7.33518655e-4 9.67276898e-1
6.68337732e-4 1.05477572e+0
6.08944084e-4 1.17058035e+0
5.59537527e-4 1.31420927e+0
5.18507455e-4 1.46483344e+0
4.84565593e-4 1.63961595e+0
4.69219552e-4 1.82508088e+0
4.70377299e-4 2.14995259e+0
4.92739813e-4 2.48616367e+0
5.27204860e-4 2.74402146e+0
5.73701606e-4 3.03296959e+0
6.29606017e-4 3.29104000e+0
6.90956426e-4 3.58994506e+0
7.58288517e-4 3.87492560e+0
8.32185040e-4 4.14776204e+0
8.97958126e-4 4.53447051e+0
9.24896122e-4 4.95845177e+0
9.20951307e-4 5.50136044e+0
8.60663427e-4 6.18626967e+0
7.84181287e-4 6.80540623e+0
7.14494000e-4 7.52607944e+0
6.59308138e-4 8.37297939e+0
6.21383264e-4 9.32564687e+0
5.85639391e-4 1.04076430e+1
5.46728684e-4 1.14642074e+1
5.23381343e-4 1.33683319e+1
5.30694191e-4 1.47652378e+1
5.58920989e-4 1.58220502e+1
6.13384027e-4 1.72363385e+1
6.73154510e-4 1.87523149e+1
7.38754722e-4 2.00638632e+1
8.10752220e-4 2.12046922e+1
8.89772334e-4 2.20781340e+1
9.76492067e-4 2.30989106e+1
1.07166980e-3 2.38609419e+1
1.17611411e-3 2.51402409e+1
1.29072972e-3 2.68513376e+1
1.32943620e-3 3.00850474e+1
1.22676712e-3 3.26499121e+1
1.11776824e-3 3.47229026e+1
1.01844583e-3 3.75986815e+1
